,date_time,location,name,text
78,Sun Oct 04 23:30:54 +0000 2015,New York,Lincoln Chafee,"In this week's Facebook Q&amp;A, Hillary took on Jeb’s claim that Democrats use ""free stuff"" to appeal to minorities. http://t.co/nx2FrUKl5G"
79,Sun Oct 04 21:47:21 +0000 2015,New York,Lincoln Chafee,"With the dangerous weather hitting South Carolina, please stay safe first and foremost. Take care, @HillaryforSC, and all affected. -H"
80,Sun Oct 04 21:27:39 +0000 2015,New York,Lincoln Chafee,LGBT rights are human rights and human rights are LGBT rights -- period. http://t.co/Plj2NjuRHD
81,Sun Oct 04 20:16:50 +0000 2015,New York,Lincoln Chafee,"Hillary finally gets to meet the mischievous, trash-eating puppy from the campaign launch video, “Getting Started.” http://t.co/B6YQEu7JkT"
82,Sun Oct 04 18:07:18 +0000 2015,New York,Lincoln Chafee,We can’t wait any longer to act on gun violence prevention. http://t.co/EZrJVtu8OC
83,Sun Oct 04 17:11:40 +0000 2015,New York,Lincoln Chafee,"RT @nbcsnl: Seriously impressed that @HillaryClinton has a Donald Trump impression. #SNL
https://t.co/NG58ODB6oA"
84,Sun Oct 04 13:07:49 +0000 2015,New York,Lincoln Chafee,"""Let us then tap our fists in friendship."" http://t.co/RkRru8dqNE"
85,Sun Oct 04 03:58:47 +0000 2015,New York,Lincoln Chafee,A vote for Hillary is a vote for four more years of Kate McKinnon's impression. #citizens http://t.co/8WFlf1dy9n
86,Sat Oct 03 23:58:31 +0000 2015,New York,Lincoln Chafee,RT @mayaharris_: .@HillaryClinton @HRC: 19 #transgender women murdered in 2015—primarily women of color. We have to end the “crisis of tran…
87,Sat Oct 03 23:47:10 +0000 2015,New York,Lincoln Chafee,“Congress must pass the Federal Equality Act.” Read Hillary’s remarks to the @HRC: http://t.co/k4uMCAwp61
88,Sat Oct 03 21:06:59 +0000 2015,New York,Lincoln Chafee,Hillary on the epidemic of gun violence. http://t.co/FkAaVf0WpC
89,Sat Oct 03 20:32:04 +0000 2015,New York,Lincoln Chafee,Grateful to have @NEAtoday on Team Hillary. Educators are the frontline fighters building a stronger America. http://t.co/cdBeoumR8v
90,Sat Oct 03 20:11:25 +0000 2015,New York,Lincoln Chafee,"RT @mayaharris_: ""I hope the United States joins many other countries that let transgender people serve openly."" - @HillaryClinton http://t…"
91,Sat Oct 03 19:49:54 +0000 2015,New York,Lincoln Chafee,"RT @mayaharris_: .@HillaryClinton: Time to upgrade military service records of those forced out for being gay, so they get ""honorable disch…"
92,Sat Oct 03 19:27:53 +0000 2015,New York,Lincoln Chafee,"""Congress must pass the Federal Equality Act [to] finally outlaw discrimination against LGBT people basically everywhere."" -Hillary"
93,Sat Oct 03 19:23:22 +0000 2015,New York,Lincoln Chafee,"""It’s outrageous that, in 2015, you can still be fired for being gay...this kind of discrimination goes against everything we stand for."""
94,Sat Oct 03 19:20:12 +0000 2015,New York,Lincoln Chafee,"""As President, I will push to cut off federal funding for any public child welfare agency that discriminates against LGBT people."" -Hillary"
95,Sat Oct 03 19:18:10 +0000 2015,New York,Lincoln Chafee,"""Eleven states ban same-sex couples and LGBT individuals from adopting....one of the cruelest vestiges of anti-gay bigotry."" -Hillary"
96,Sat Oct 03 19:15:05 +0000 2015,New York,Lincoln Chafee,"""We need to say with one voice that transgender people are valued, they are loved, they are us"" -Hillary at @HRC today"
97,Sat Oct 03 17:21:00 +0000 2015,New York,Lincoln Chafee,La riqueza de la comunidad latina es su gran diversidad. Estamos orgullosos de lanzar Latinos por Hillary. http://t.co/qSx4bqzeqU
98,Sat Oct 03 15:31:15 +0000 2015,New York,Lincoln Chafee,"Hillary finally gets to meet the mischievous, trash-eating puppy from the campaign launch video, “Getting Started.”
https://t.co/Hiz2r7qRou"
99,Sat Oct 03 14:43:29 +0000 2015,New York,Lincoln Chafee,"Today the Immigration and Nationality Act turns 50. It was a first step towards making our system fair, but our work remains unfinished."
100,Sat Oct 03 04:11:11 +0000 2015,New York,Lincoln Chafee,"RT @MarcAnthony: This election is important for the future of the Latino community, our vote could make the difference @HillaryClinton http…"
101,Sat Oct 03 03:33:48 +0000 2015,New York,Lincoln Chafee,"¡Bienvenido a Latinos por Hillary, @marcanthony! Para también unirte textea LATINOS a 47246. http://t.co/PucWkRU7l0"
102,Sat Oct 03 02:39:28 +0000 2015,New York,Lincoln Chafee,Join Hillary and @marcanthony: Text LATINOS to 47246 to be part of Latinos for Hillary! http://t.co/5m2FoZc00g
103,Sat Oct 03 02:20:39 +0000 2015,New York,Lincoln Chafee,RT @TelemundoNews: Marc Anthony y Hillary Clinton en el American Airlines Arena http://t.co/MmAZLHNrHQ
104,Fri Oct 02 21:15:36 +0000 2015,New York,Lincoln Chafee,"""I am well aware that this is a political mountain to climb....I will, as your president, never relent on trying to work on this."" -Hillary"
105,Fri Oct 02 21:11:55 +0000 2015,New York,Lincoln Chafee,"""Republicans keep refusing to do anything to protect our communities. They put the NRA ahead of American families. It is wrong."" -Hillary"
106,Fri Oct 02 21:08:54 +0000 2015,New York,Lincoln Chafee,"""We don't just need to pray...We need to act...Republicans and the NRA say, now is not the time to talk about guns. Yes, it is."" -Hillary"
107,Fri Oct 02 21:07:03 +0000 2015,New York,Lincoln Chafee,"""What is wrong with us that we can't stand up to the NRA and the gun lobby and the gun manufacturers they represent?"" -Hillary"
108,Fri Oct 02 17:30:54 +0000 2015,New York,Lincoln Chafee,"Thanks to #KnowTomorrow student activists, we're better prepared than ever to face the climate challenge. http://t.co/moaclrevjX"
109,Fri Oct 02 16:41:26 +0000 2015,New York,Lincoln Chafee,"RT @WomenG4Hillary: A mini-Hillary sighting! 😍

""My nana made it for me!""

#Hillary2016 #WomenForHillary http://t.co/BSW9Se4P4S"
110,Fri Oct 02 15:26:01 +0000 2015,New York,Lincoln Chafee,"RT @mayaharris_: .@HillaryClinton: ""It's a blast from the Jim Crow past."" Alabama should do the right thing &amp; protect #votingrights. http:/…"
111,Fri Oct 02 14:53:53 +0000 2015,New York,Lincoln Chafee,Yet another reason we need to restore key protections of the Voting Rights Act. We're better than this. -H https://t.co/HYM1j2irkm
112,Fri Oct 02 02:50:23 +0000 2015,New York,Lincoln Chafee,Proud to have @wendydavis on Team Hillary. http://t.co/Ck3TxLbCL5
113,Fri Oct 02 01:59:08 +0000 2015,New York,Lincoln Chafee,"RT @Ann_OLeary: .@HillaryClinton proudly partnered w/teachers, fighting for kids, her whole career. Teachers have her respect always https:…"
114,Thu Oct 01 22:04:45 +0000 2015,New York,Lincoln Chafee,"Another devastating shooting. We need sensible gun control measures to save lives, and I will do everything I can to achieve that. -H"
115,Thu Oct 01 16:34:46 +0000 2015,New York,Lincoln Chafee,"Raising the minimum wage isn’t just a women’s issue -- it’s also a family issue and an economic issue.
https://t.co/Nc3IZrWrRy"
116,Thu Oct 01 14:57:47 +0000 2015,New York,Lincoln Chafee,"RT @TheBriefing2016: .@GOPLeader admits to a taxpayer-funded sham aimed at hurting @HillaryClinton. Watch @brianefallon's take:
https://t.c…"
117,Thu Oct 01 13:15:59 +0000 2015,New York,Lincoln Chafee,The United States is the only country in the developed world without guaranteed paid leave. That has to change. http://t.co/qafJ7MrTRi
118,Thu Oct 01 12:48:26 +0000 2015,New York,Lincoln Chafee,"RT @TheBriefing2016: Speaker-in-Waiting Kevin McCarthy confirms: Benghazi committee is a partisan effort to hurt Hillary's campaign.
https:…"
119,Thu Oct 01 01:32:14 +0000 2015,New York,Lincoln Chafee,RT @TheBriefing2016: 11. The Zadroga Bill's authorization will lapse tonight. It provides health coverage to 9/11 first responders. The GOP…
120,Thu Oct 01 00:36:19 +0000 2015,New York,Lincoln Chafee,"In case you were wondering, you should be following hillaryclinton on Snapchat. 👻 http://t.co/eigWQMKXjj"
121,Wed Sep 30 21:29:39 +0000 2015,New York,Lincoln Chafee,"Hillary’s working to earn every vote, but needs your support. Donate by tonight's deadline: http://t.co/XlRpuEsjSi http://t.co/yGBds5whPW"
122,Wed Sep 30 19:37:36 +0000 2015,New York,Lincoln Chafee,http://t.co/TZG8tREcR1
123,Wed Sep 30 16:50:59 +0000 2015,New York,Lincoln Chafee,"The @HillaryforNV team held a focus group with some of Hillary's littlest supporters. 👭
https://t.co/OAx1VdOh1M"
124,Wed Sep 30 15:09:38 +0000 2015,New York,Lincoln Chafee,You shouldn't have to worry about your paycheck or your job when you have a baby or someone in your family gets sick.
125,Wed Sep 30 12:07:22 +0000 2015,New York,Lincoln Chafee,"“Nobody in America should have to choose between buying the medicine they need and paying their rent.” -Hillary
https://t.co/HmGeuX2vKz"
126,Wed Sep 30 01:29:20 +0000 2015,New York,Lincoln Chafee,Did you know Hillary once had a job gutting salmon in Alaska? Read about it in her interview with @lenadunham: http://t.co/SKGEVx9nNf
127,Wed Sep 30 00:00:05 +0000 2015,New York,Lincoln Chafee,Hillary has a plan to cap covered prescription drug costs at $250 per month: http://t.co/sjwwXiWxzQ http://t.co/YY6guHTOxk
128,Tue Sep 29 22:35:50 +0000 2015,New York,Lincoln Chafee,"In school, I learned how to think creatively and stand up for myself. #62MillionGirls don't have that chance. http://t.co/BKNW3A0Oqc -H"
129,Tue Sep 29 21:07:21 +0000 2015,New York,Lincoln Chafee,"#PinkOut for @PPFA because they provide quality, affordable health care to those who need it most. #StandWithPP http://t.co/smM6J6N91B"
130,Tue Sep 29 19:49:40 +0000 2015,New York,Lincoln Chafee,"For nearly 100 yrs, Planned Parenthood has stood up to political attacks on women's health while providing care. GOP: You're outmatched. -H"
131,Tue Sep 29 19:32:10 +0000 2015,New York,Lincoln Chafee,"Health care, college affordability, and pumpkin spice lattes—read everything you missed from Hillary’s Facebook Q&amp;A: http://t.co/cu4KW6rQEx"
132,Tue Sep 29 18:59:22 +0000 2015,New York,Lincoln Chafee,RT @mintimm: #PinkOut at @hillaryclinton HQ! So proud to work on a campaign that fights for women’s health http://t.co/CN2AXuQQR5
133,Tue Sep 29 15:56:46 +0000 2015,New York,Lincoln Chafee,Excited to be part of @lennyletter's first issue! Read Hillary's interview with @lenadunham: http://t.co/MTOp7YMZ1S http://t.co/UcrkdYZFYv
134,Tue Sep 29 12:02:44 +0000 2015,New York,Lincoln Chafee,"When Republicans attack Planned Parenthood, they’re attacking women’s health. Proud to #StandWithPP—and always will.
https://t.co/frqgxI6sjG"
