,date_time,location,name,text
57,Fri Sep 25 00:12:29 +0000 2015,Rhode Island,Hillary Rodham Clinton,Thank you Mt Chocurua Democrats! #nhpolitics #prosperitythroughpeace #chafee2016 http://t.co/qgEiOS5NUb
58,Thu Sep 24 19:01:12 +0000 2015,Rhode Island,Hillary Rodham Clinton,Both long overdue and very timely: @RepEBJ introduces H.R. 413 to honor victims of hate crimes &amp; prejudice post 9/11 http://t.co/H9JNkRKNHx
59,Thu Sep 24 16:01:00 +0000 2015,Rhode Island,Hillary Rodham Clinton,The Iraq War caused the refugee crisis and our European allies suffer from our mistakes. Fruits of #neoconkoolaid http://t.co/DiUDno4bsL
60,Wed Sep 23 22:00:53 +0000 2015,Rhode Island,Hillary Rodham Clinton,Yemen continues to denigrate into worse humanitarian disaster. US should rally intl efforts for peace talks  http://t.co/Ky6Rt4QWRK
61,Wed Sep 23 19:01:04 +0000 2015,Rhode Island,Hillary Rodham Clinton,"If we want the world to listen to us, we need to listen to the world. Time to reflect on the #Cuba embargo @UN http://t.co/kM9QZQOkiV"
62,Wed Sep 23 16:01:53 +0000 2015,Rhode Island,Hillary Rodham Clinton,At the #EU refugee summit today leaders must come together on more than quotas to address the millions still trying to escape.
63,Tue Sep 22 22:00:47 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Still, talking w/ Russians is first step. Good to see @POTUS  doing it. Repubs would probably just launch missiles  http://t.co/aV88qLaOlJ"
64,Tue Sep 22 19:00:10 +0000 2015,Rhode Island,Hillary Rodham Clinton,How to address source of hate crimes? We must educate to embrace diversity and criticize a whitewashed history.  http://t.co/C8fPOLlYji
65,Tue Sep 22 16:00:03 +0000 2015,Rhode Island,Hillary Rodham Clinton,Russia should know that sustainable peace in Syria is impossible w/o reforming the Assad regime. http://t.co/i1JBrbCqUz #GetGrounded
66,Tue Sep 22 13:47:55 +0000 2015,Rhode Island,Hillary Rodham Clinton,"RT @RitaCosby: Listen to our great show featuring @CardinalDolan, @DavidGregory, @RandPaul and @LincolnChafee – http://t.co/nOfAaJtLHY

#po…"
67,Tue Sep 22 12:48:46 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Welcome Pope Francis! @Pontifex said in #Cuba, ""If you are different than me, why don't we talk?"" #GetGrounded #ProsperitythroughPeace"
68,Mon Sep 21 22:00:30 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Good to see intl. leadership &amp; cooperation address situation in Burkina Faso. Exactly right, let's keep an eye on it  http://t.co/ERS8bYjAWn"
69,Mon Sep 21 20:28:43 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Oman, on the Arabian Peninsula is emerging as a leader of peaceful efforts in the region.  Responsible for release of US prisoners in Yemen."
70,Mon Sep 21 19:00:47 +0000 2015,Rhode Island,Hillary Rodham Clinton,".@GOP  You should already know this, but race baiting and fear mongering, immoral themselves, ultimately hurt you  http://t.co/3j6Cl843tb"
71,Mon Sep 21 17:01:09 +0000 2015,Rhode Island,Hillary Rodham Clinton,.@realBenCarson shames himself and the Constitution with Muslim president comment.  Bigotry is incompatible with the values of this nation.
72,Mon Sep 21 16:00:58 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Brinkmanship in Syria w/Russia will kill more, prolong conflict. Let's come to our senses now and talk.  @JyShapiro  http://t.co/1RbooIuhFk"
73,Mon Sep 21 13:00:49 +0000 2015,Rhode Island,Hillary Rodham Clinton,New docs show Bush/Cheney ignored 4th Amend. &amp; Justice Dept on wiretapping. Probably still think they're right. http://t.co/qYCmqySl33
74,Sun Sep 20 19:00:39 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Hmm, let's look at just some of the things the Republican candidates got wrong in the debate.  http://t.co/0Xc0oydRtx  #Chafee2016"
75,Sun Sep 20 18:01:05 +0000 2015,Rhode Island,Hillary Rodham Clinton,"You can't say #Putin didn't warn us in speech in Munich in '07. The ""unipolar"" speech. #chafee2016 Prosperity through Peace."
76,Sun Sep 20 14:04:26 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Empowering disgraceful Islamaphobia at his rally may be @realDonaldTrump 's campaign strategy, but it's unequivocally shameful and wrong."
77,Sat Sep 19 18:03:42 +0000 2015,Rhode Island,Hillary Rodham Clinton,Thank you NH Democrats!  Prosperity through Peace! #chafee2016 #nhpolitics http://t.co/IBoqCZcaoa
78,Sat Sep 19 17:02:20 +0000 2015,Rhode Island,Hillary Rodham Clinton,Governor O'Malley and Governor Chafee exchange pleasantries at the NH Democratic Convention. #chafee2016 #nhpolitics http://t.co/lNgrIQwYyH
79,Sat Sep 19 15:14:01 +0000 2015,Rhode Island,Hillary Rodham Clinton,RT @cspanradio: 9:30amET LIVE: .@NHDems Convention w/@HillaryClinton @BernieSanders @LincolnChafee @MartinOMalley Lawrence Lessing http://t…
80,Fri Sep 18 22:00:32 +0000 2015,Rhode Island,Hillary Rodham Clinton,Prejudicial fears poison our nation. @IStandwithAhmed  you inspire us all to fight for compassion. #IStandWithAhmed   http://t.co/CeCOzV7V8n
81,Fri Sep 18 19:01:24 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Humbled by diplomacy w/the South, N. Korea seeks to reaffirm fantasy stance of power and legitimacy w/ nukes  http://t.co/fwlvgLt3Ac"
82,Fri Sep 18 16:01:36 +0000 2015,Rhode Island,Hillary Rodham Clinton,I fear fear itself. The last time the @GOP was this scared of Muslims we invaded Iraq. Hawks must stop squawking  http://t.co/pOVNm8wm1h
83,Thu Sep 17 22:00:25 +0000 2015,Rhode Island,Hillary Rodham Clinton,"I'm all for fiscal responsibility, but Republicans are severely harming our govt's ability to make good decisions. http://t.co/4U9swHjWYf"
84,Thu Sep 17 19:01:05 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Mass incarceration is not ""tough on crime"", its tough on families; wasting money &amp; poisoning society. #GetGrounded   http://t.co/Im7fyhSzZq"
85,Thu Sep 17 16:00:35 +0000 2015,Rhode Island,Hillary Rodham Clinton,The only solution to Syria and the refugee crisis is via diplomacy. Time to bring the players to the table. @npwcnn  http://t.co/SspZ0MfAW7
86,Thu Sep 17 13:01:34 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Wow, so much anti @Obama vitriol #GOPDebate. THEY forget the mess THEY handed him in '08- deficits, freefall economy, broken MIddle East."
87,Thu Sep 17 01:45:16 +0000 2015,Rhode Island,Hillary Rodham Clinton,How can they be so indignant?  They and @GOP leaders are responsible for class warfare &amp; disparity in this country and beyond. #CNNDebate
88,Thu Sep 17 01:18:23 +0000 2015,Rhode Island,Hillary Rodham Clinton,An hour in #cnndebate &amp; they've started WWIII and bashed women.  Next: beating on immigrants and more damage to the poor &amp; Middle Class.
